row_index,corruption_type
0,clean
1,clean
2,clean
3,clean
4,clean
5,clean
6,clean
7,clean
8,clean
9,clean
10,clean
11,clean
12,clean
13,clean
14,clean
15,clean
16,clean
17,clean
18,clean
19,clean
20,clean
21,clean
22,clean
23,clean
24,clean
25,clean
26,clean
27,clean
28,clean
29,thermal_spike
30,thermal_spike
31,clean
32,clean
33,clean
34,clean
35,clean
36,clean
37,clean
38,clean
39,clean
40,clean
41,clean
42,clean
43,clean
44,clean
45,clean
46,clean
47,clean
48,clean
49,clean
50,clean
51,clean
52,clean
53,clean
54,clean
55,clean
56,clean
57,clean
58,clean
59,clean
60,clean
61,clean
62,clean
63,clean
64,clean
65,clean
66,clean
67,clean
68,clean
69,clean
70,clean
71,clean
72,clean
73,clean
74,clean
75,clean
76,clean
77,clean
78,clean
79,clean
80,clean
81,clean
82,clean
83,clean
84,clean
85,clean
86,clean
87,clean
88,clean
89,clean
90,clean
91,clean
92,clean
93,clean
94,clean
95,clean
96,clean
97,clean
98,clean
99,clean
100,clean
101,clean
102,clean
103,clean
104,clean
105,clean
106,clean
107,clean
108,clean
109,clean
110,clean
111,clean
112,stale_timestamp
113,clean
114,clean
115,clean
116,clean
117,clean
118,clean
119,clean
120,clean
121,clean
122,clean
123,clean
124,clean
125,clean
126,clean
127,clean
128,clean
129,cross_field
130,clean
131,clean
132,clean
133,clean
134,clean
135,clean
136,clean
137,clean
138,cross_field
139,clean
140,clean
141,clean
142,clean
143,clean
144,clean
145,clean
146,clean
147,clean
148,clean
149,clean
150,clean
151,clean
152,clean
153,clean
154,clean
155,clean
156,clean
157,clean
158,clean
159,clean
160,clean
161,clean
162,clean
163,clean
164,clean
165,clean
166,clean
167,clean
168,clean
169,clean
170,clean
171,clean
172,clean
173,clean
174,clean
175,clean
176,clean
177,clean
178,clean
179,clean
180,phantom_detector
181,clean
182,clean
183,clean
184,clean
185,clean
186,clean
187,clean
188,clean
189,clean
190,clean
191,clean
192,clean
193,clean
194,clean
195,clean
196,clean
197,clean
198,clean
199,cross_field
200,clean
201,clean
202,clean
203,clean
204,stale_timestamp
205,clean
206,stale_timestamp
207,clean
208,clean
209,clean
210,clean
211,clean
212,clean
213,clean
214,clean
215,clean
216,clean
217,clean
218,clean
219,clean
220,clean
221,clean
222,clean
223,clean
224,clean
225,clean
226,clean
227,cross_field
228,clean
229,clean
230,clean
231,clean
232,clean
233,clean
234,clean
235,clean
236,clean
237,clean
238,clean
239,clean
240,clean
241,clean
242,clean
243,clean
244,clean
245,clean
246,clean
247,clean
248,cross_field
249,clean
250,clean
251,clean
252,clean
253,clean
254,clean
255,clean
256,clean
257,clean
258,clean
259,clean
260,clean
261,clean
262,clean
263,clean
264,clean
265,clean
266,clean
267,clean
268,clean
269,clean
270,clean
271,clean
272,clean
273,clean
274,clean
275,clean
276,clean
277,clean
278,clean
279,clean
280,clean
281,clean
282,clean
283,clean
284,clean
285,clean
286,clean
287,clean
288,clean
289,clean
290,clean
291,clean
292,clean
293,clean
294,clean
295,bit_flip
296,phantom_detector
297,clean
298,clean
299,clean
300,clean
301,clean
302,clean
303,clean
304,subtle_drift
305,clean
306,clean
307,clean
308,clean
309,clean
310,clean
311,clean
312,clean
313,clean
314,clean
315,clean
316,clean
317,clean
318,clean
319,clean
320,clean
321,clean
322,clean
323,clean
324,clean
325,clean
326,clean
327,clean
328,clean
329,clean
330,clean
331,clean
332,clean
333,clean
334,clean
335,clean
336,clean
337,clean
338,clean
339,clean
340,clean
341,subtle_drift
342,clean
343,clean
344,clean
345,clean
346,clean
347,clean
348,clean
349,clean
350,clean
351,thermal_spike
352,thermal_spike
353,clean
354,clean
355,clean
356,clean
357,clean
358,cross_field
359,clean
360,clean
361,clean
362,clean
363,clean
364,clean
365,clean
366,clean
367,clean
368,clean
369,clean
370,clean
371,clean
372,clean
373,clean
374,clean
375,clean
376,clean
377,clean
378,clean
379,clean
380,clean
381,clean
382,clean
383,clean
384,clean
385,clean
386,clean
387,clean
388,clean
389,clean
390,clean
391,clean
392,clean
393,clean
394,clean
395,clean
396,clean
397,clean
398,clean
399,clean
400,clean
401,clean
402,clean
403,clean
404,bit_flip
405,clean
406,clean
407,clean
408,clean
409,clean
410,clean
411,clean
412,clean
413,clean
414,clean
415,clean
416,clean
417,clean
418,clean
419,clean
420,clean
421,clean
422,clean
423,clean
424,clean
425,clean
426,clean
427,clean
428,clean
429,clean
430,clean
431,clean
432,clean
433,clean
434,clean
435,clean
436,clean
437,clean
438,clean
439,clean
440,clean
441,clean
442,clean
443,clean
444,clean
445,clean
446,clean
447,clean
448,clean
449,clean
450,clean
451,clean
452,clean
453,clean
454,clean
455,clean
456,clean
457,clean
458,clean
459,clean
460,clean
461,clean
462,clean
463,clean
464,clean
465,clean
466,clean
467,clean
468,clean
469,clean
470,clean
471,clean
472,clean
473,clean
474,clean
475,clean
476,clean
477,clean
478,clean
479,clean
480,clean
481,clean
482,clean
483,clean
484,clean
485,clean
486,clean
487,clean
488,clean
489,clean
490,clean
491,clean
492,clean
493,clean
494,clean
495,clean
496,subtle_drift
497,clean
498,clean
499,clean
500,clean
501,clean
502,clean
503,clean
