event_id,timestamp_ns,detector_id,channel_id,energy_deposit_keV,hit_multiplicity,signal_amplitude_mV,noise_floor_mV,temperature_K,run_status
0,3684,7,8,1.585,0,10.5402,7.7974,293.0656,init
1,14060,7,0,49.4512,2,50.5018,3.7187,293.0335,init
2,22108,8,7,16.9175,1,21.6976,4.4754,293.0928,init
3,22950,1,0,12.2324,1,15.387,2.6204,293.138,init
4,41454,8,2,118.397,3,110.4728,3.3958,293.0631,init
5,41625,1,11,113.794,2,130.6511,2.4964,293.0945,init
6,49773,4,0,15.5879,2,20.6094,4.6106,293.0893,init
7,50105,5,5,17.2487,1,24.3616,7.2474,293.1946,init
8,64451,3,3,127.2419,6,117.4129,2.2245,293.2533,init
9,74943,2,0,24.1187,1,29.0074,4.8409,293.2168,init
10,107098,2,3,35.6217,3,42.41,5.124,293.2702,active
11,112189,7,1,14.3994,2,20.0109,7.5489,293.2429,active
12,130022,3,1,126.0115,3,128.6819,7.4961,293.2496,active
13,140547,3,10,94.8804,2,103.5181,3.7455,293.2898,active
14,155390,8,1,19.1179,1,26.7804,6.7809,293.2445,active
15,170723,2,15,7.4344,1,15.2341,6.6119,293.2821,active
16,188639,8,7,23.6626,1,29.022,4.4754,293.3804,active
17,215564,8,6,1.0268,0,6.6,5.6186,293.3537,active
18,216678,5,14,13.81,1,17.6129,2.7909,293.355,active
19,229279,2,12,3.3378,0,7.3874,3.6874,293.3741,active
20,230100,2,6,25.726,1,37.0124,6.9578,293.3807,active
21,230788,3,15,56.0497,4,54.7928,2.2695,293.3293,active
22,263850,5,8,3.3859,0,10.0325,6.6644,293.3162,active
23,274197,2,11,122.4073,4,111.3076,6.0334,293.225,active
24,274301,4,15,1.6714,0,5.0045,3.4458,293.2375,active
25,277313,1,11,0.9353,0,3.0205,2.4964,293.2687,active
26,285687,5,9,8.5447,1,15.3638,7.831,293.3002,active
27,289961,1,9,15.2554,1,20.2383,4.8938,293.2949,active
28,300755,6,10,0.7053,0,7.4167,7.5654,293.3408,active
29,302526,1,15,15.1777,1,19.7981,5.4304,293.3363,active
30,305652,2,11,8.2458,1,13.32,6.0334,293.3407,active
31,308665,2,4,22.8933,2,29.8641,4.6335,293.3388,active
32,338611,7,0,1.3737,0,4.6932,3.7187,293.4047,active
33,339198,1,12,7.804,1,12.8432,4.9199,293.3835,active
34,341695,4,7,48.4705,1,57.0563,3.8956,293.3909,active
35,352494,5,6,10.9263,1,13.0282,3.1786,293.4476,active
36,363918,5,14,25.7408,1,29.2659,2.7909,293.4602,active
37,364155,6,2,19.6831,1,28.2258,6.1656,293.4268,active
38,374915,7,0,19.2041,2,22.9943,3.7187,293.4221,active
39,387554,4,11,19.0362,1,19.3982,2.5668,293.3729,active
40,395210,7,14,15.6072,2,17.8866,2.107,293.4043,active
41,396336,3,13,38.0187,1,48.4999,7.6163,293.3985,active
42,405505,8,13,2.3824,0,6.4281,3.487,293.4711,active
43,406406,5,13,8.7045,1,12.3581,3.3779,293.4337,active
44,411285,6,10,13.9894,2,19.6928,7.5654,293.4053,active
45,418408,8,14,125.2946,2,122.6044,3.42,293.4454,active
46,429962,7,5,16.3094,1,20.7453,2.6354,293.418,active
47,434388,7,11,5.9033,1,11.273,6.8262,293.383,active
48,441107,5,1,24.3422,2,31.885,6.9867,293.4256,active
49,457631,1,8,12.0702,1,18.5128,7.7514,293.4492,active
50,458889,4,4,2.6025,0,10.3776,7.3448,293.396,active
51,490091,2,15,21.4841,1,30.7804,6.6119,293.4446,active
52,512210,8,6,7.863,1,12.955,5.6186,293.4287,active
53,541747,2,3,45.1759,2,52.0375,5.124,293.4693,active
54,547258,2,9,136.4342,3,130.2212,5.3242,293.4558,active
55,549548,2,1,8.9858,1,11.162,3.6019,293.4464,active
56,564087,6,2,34.9513,1,44.5169,6.1656,293.4972,active
57,571980,5,6,116.5382,3,109.1185,3.1786,293.5663,active
58,583940,8,10,16.1534,1,20.3922,5.9116,293.4782,active
59,604425,4,9,20.1169,1,27.1818,5.97,293.4826,active
60,609575,3,0,5.3433,1,7.8407,2.6464,293.3965,active
61,619314,1,10,8.2807,1,14.128,6.6964,293.461,active
62,623588,1,0,11.2712,2,15.3953,2.6204,293.3916,active
63,630781,3,13,10.7547,1,18.9068,7.6163,293.35,active
64,657345,8,0,2.0576,0,7.9262,6.9766,293.3329,active
65,657635,5,0,25.1223,2,28.5618,2.7365,293.3651,active
66,658142,8,8,3.2731,0,7.5413,4.2451,293.4238,active
67,675269,1,12,72.4211,3,80.6931,4.9199,293.4158,active
68,689617,1,12,16.909,1,22.6646,4.9199,293.3828,active
69,699089,7,9,122.445,1,136.0188,5.5763,293.402,active
70,701662,1,2,4.5939,0,8.9206,3.0236,293.3216,active
71,703242,1,15,14.1629,1,19.0582,5.4304,293.3073,active
72,706163,4,0,14.2005,1,18.5243,4.6106,293.3619,active
73,718525,8,5,20.2447,1,28.2572,7.2064,293.3772,active
74,723217,6,12,4.8246,0,8.0285,3.8057,293.2721,active
75,727628,1,9,3.1021,0,8.1263,4.8938,293.3056,active
76,735435,7,12,5.1822,1,8.8028,4.8043,293.3024,active
77,743249,7,12,21.4283,1,23.8584,4.8043,293.261,active
78,753796,7,15,94.2353,4,87.997,2.6549,293.3301,active
79,766803,8,8,3.4667,0,7.1107,4.2451,293.2787,active
80,796168,2,13,18.4487,2,25.5207,5.9565,293.2746,active
81,798123,8,2,11.0937,2,13.5466,3.3958,293.3083,active
82,803849,3,2,0.6188,0,4.2367,3.3813,293.3101,active
83,806651,7,0,46.2876,2,48.6367,3.7187,293.3202,active
84,817628,5,3,50.9374,1,50.9811,3.0756,293.3051,active
85,821801,7,1,120.498,5,113.3726,7.5489,293.3663,active
86,835068,6,13,106.7594,2,107.2631,4.9315,293.3893,active
87,850984,6,7,38.8775,3,44.5342,6.4339,293.3057,active
88,851914,5,7,3.504,0,7.242,3.8619,293.3193,active
89,868406,7,10,25.7455,1,33.1508,7.5981,293.2425,active
90,871779,6,5,50.7282,3,51.1838,6.8247,293.3337,active
91,874551,2,9,31.2174,1,34.2969,5.3242,293.3853,active
92,879409,7,0,27.1144,1,29.8886,3.7187,293.4227,active
93,884844,5,11,1.7956,0,4.3284,2.8634,293.4544,active
94,887703,3,13,1.6566,0,9.4628,7.6163,293.3624,active
95,887803,5,0,18.9848,1,23.0782,2.7365,293.3671,active
96,891556,8,1,5.5114,1,12.8757,6.7809,293.3726,active
97,911266,7,2,8.5893,2,9.8754,2.1492,293.3527,active
98,911808,7,9,17.2272,1,24.4512,5.5763,293.3784,active
99,914886,4,12,119.6901,2,131.9694,6.4807,293.3702,active
100,925363,7,13,6.7483,1,13.8605,6.7086,293.3092,active
101,927450,4,12,122.5321,3,135.0641,6.4807,293.3227,active
102,929316,6,9,144.0801,4,146.5908,2.7425,293.3743,active
103,931946,6,11,41.6718,3,48.4883,4.3855,293.3633,active
104,940001,2,4,71.8841,3,82.0465,4.6335,293.3381,active
105,950425,3,11,1.6477,0,6.9352,5.0903,293.3643,active
106,969488,1,2,4.0248,0,7.4785,3.0236,293.3842,active
107,976236,2,15,11.6229,1,20.0041,6.6119,293.3919,active
108,988826,4,0,35.4575,2,42.381,4.6106,293.4405,active
109,1004903,4,15,18.8925,1,24.5747,3.4458,293.4161,active
110,1005210,2,7,21.7203,1,30.9634,7.377,293.4121,active
111,1007791,4,10,8.0886,1,11.471,4.2419,293.3914,active
112,1009942,5,2,60.5901,1,66.058,2.9197,293.3792,active
113,1017788,2,5,11.3529,2,12.8173,2.1297,293.3726,active
114,1023219,3,13,11.7328,1,20.6545,7.6163,293.4036,active
115,1029016,3,0,0.2916,0,3.4673,2.6464,293.3894,active
116,1031250,5,3,2.0882,0,5.3573,3.0756,293.3635,active
117,1039816,3,10,4.21,0,7.9477,3.7455,293.3542,active
118,1067249,6,12,144.3525,5,145.8976,3.8057,293.2913,active
119,1078857,3,6,1.688,0,8.4136,6.9787,293.2791,active
120,1087940,4,1,19.515,3,25.8239,7.9543,293.1794,active
121,1092871,4,2,6.5239,1,13.9423,7.3501,293.1556,active
122,1109875,2,14,0.168,0,6.5921,6.362,293.0854,active
123,1115491,6,3,11.9071,1,16.8072,5.4867,293.1059,active
124,1129298,2,9,9.1154,1,13.2868,5.3242,293.0839,active
125,1157509,3,14,10.6691,1,12.993,2.9876,293.0001,active
126,1161912,7,6,24.3141,1,24.5987,2.842,292.9888,active
127,1165400,8,1,42.5082,2,50.8474,6.7809,292.9792,active
128,1185854,6,13,2.2765,0,6.7843,4.9315,292.9536,active
129,1225755,8,12,15.3114,1,18.1303,4.7234,292.9467,active
130,1226282,7,10,110.3385,3,116.1466,7.5981,293.0247,active
131,1242188,4,14,1.76,0,10.0775,7.6209,293.0232,active
132,1251822,7,12,99.586,3,92.8989,4.8043,292.9585,active
