row_index,recon_error,flagged_p95,flagged_p99,flagged_p99_5,top_feature,err_detector_id,err_channel_id,err_energy_deposit_keV,err_hit_multiplicity,err_signal_amplitude_mV,err_noise_floor_mV,err_temperature_K,err_run_status_enc
0,0.01955295,False,False,False,detector_id,0.12396175,0.0059443,0.00247811,0.00133362,0.00242581,0.01826474,0.00166296,0.00035236
1,0.12233077,False,False,False,hit_multiplicity,0.01074008,0.01143566,0.1148603,0.5252215,0.15203114,0.16404901,0.00030726,1.22e-06
2,0.03172589,False,False,False,hit_multiplicity,0.00056309,0.00698005,0.04766144,0.13703063,0.06045584,5.768e-05,0.00105504,3.37e-06
3,0.01205675,False,False,False,channel_id,0.03146222,0.05518078,0.00116177,3.76e-05,0.00073801,0.00666431,0.00038774,0.00082154
4,0.04396532,False,False,False,energy_deposit_keV,0.07937706,0.08163797,0.08814768,0.00698863,0.03710015,0.05280204,0.00545249,0.00021653
5,0.02897341,False,False,False,channel_id,0.00578383,0.13348132,0.00045499,0.0533561,4.19e-06,0.0101535,0.02845256,0.00010079
6,0.01374837,False,False,False,temperature_K,0.02449952,0.00563939,0.01190205,9.31e-06,0.015668,0.01699813,0.02457028,0.01070031
7,0.01642012,False,False,False,detector_id,0.11282109,8.215e-05,0.00974806,0.00074778,0.00245721,8.933e-05,0.00492101,0.00049437
8,0.03880902,False,False,False,hit_multiplicity,0.04925516,0.04367265,0.0429665,0.13245137,0.03592856,0.00196327,0.00419641,3.826e-05
9,0.02907777,False,False,False,energy_deposit_keV,0.00337017,0.00538707,0.11174542,0.03530444,0.07269051,0.00069439,0.00298476,0.00044538
10,0.00431819,False,False,False,channel_id,0.00247982,0.02551383,1.6e-07,2.676e-05,7.416e-05,0.00477023,0.00028247,0.00139808
11,0.11730324,False,False,False,detector_id,0.3955072,0.15872693,0.07755805,0.2534965,0.01036566,0.03355519,0.00274641,0.00646991
12,0.01186812,False,False,False,detector_id,0.05817363,0.02751864,0.00094161,5.92e-06,0.00036019,0.00769345,0.0002166,3.491e-05
13,0.01378652,False,False,False,detector_id,0.05769354,0.02612192,0.00154735,0.00120316,0.00959426,0.01344327,0.00065351,3.516e-05
14,0.07759948,False,False,False,hit_multiplicity,0.00123368,0.00107272,0.17947632,0.20950615,0.14015569,0.08902605,0.00031429,1.095e-05
15,0.05584848,False,False,False,hit_multiplicity,0.02511236,0.01117756,0.0031867,0.39623773,0.00809498,0.00229587,0.00043855,0.00024407
16,0.02161226,False,False,False,detector_id,0.13329072,0.0088331,0.00096906,0.00955212,0.00039389,0.00511735,0.01449974,0.0002421
17,0.00670754,False,False,False,hit_multiplicity,0.00067697,7.461e-05,0.00497388,0.02531369,0.0027763,0.01646568,0.00184404,0.00153517
18,0.0424423,False,False,False,energy_deposit_keV,0.02722034,0.00464376,0.11720638,0.07551396,0.0970386,0.00324031,0.01348724,0.00118787
19,0.05212522,False,False,False,hit_multiplicity,0.04868919,0.04987774,0.02012862,0.28120643,0.01569254,0.0006447,3.15e-06,0.00075945
20,0.0100016,False,False,False,detector_id,0.0643256,0.00017839,0.00315092,0.00682223,0.00357733,0.00067709,0.00106766,0.00021361
21,0.0518077,False,False,False,hit_multiplicity,0.02669175,0.00893986,0.0629799,0.15166235,0.06433666,0.06270318,0.03396934,0.00317862
22,0.02673854,False,False,False,channel_id,0.07732036,0.10300586,0.00265891,0.00249542,0.00385993,0.00759822,0.01581883,0.00115078
23,0.00653701,False,False,False,detector_id,0.02438678,0.00390107,0.00168372,0.00186379,0.00022323,0.01012132,0.01010574,1.042e-05
24,0.02739428,False,False,False,detector_id,0.12217004,0.02039629,0.02948634,2.74e-05,0.04287024,0.00244652,0.00154689,0.0002105
25,0.02976693,False,False,False,channel_id,0.04897184,0.1742908,0.00024004,0.00037168,0.00277792,0.0061502,0.00521377,0.00011917
26,0.05626898,False,False,False,channel_id,0.10578002,0.28599668,0.00150976,0.00177836,0.00022819,0.01783077,0.03636811,0.00066005
27,0.13510337,True,False,False,hit_multiplicity,0.02143899,0.01384746,0.09267523,0.82338715,0.12348218,0.00488572,0.00089182,0.00021856
28,0.07645457,False,False,False,hit_multiplicity,0.02423051,0.02537374,0.12389047,0.21424738,0.18065584,0.03625327,0.00605944,0.00092588
29,2.201782,True,True,True,temperature_K,4.912474,0.61405796,0.28088114,0.35848972,0.15449329,0.24673977,10.924359,0.12275825
30,0.06323728,False,False,False,channel_id,0.12944235,0.33069196,0.00401923,0.0151086,0.00011728,0.00010196,0.0255935,0.00082332
31,0.03235765,False,False,False,signal_amplitude_mV,0.00899477,0.00048304,0.04801734,0.02004209,0.10392322,0.0403482,0.03704168,1.083e-05
32,0.05998434,False,False,False,signal_amplitude_mV,0.02382382,0.02133254,0.09902045,0.1094189,0.14640068,0.07277725,0.00699169,0.0001094
33,0.00812646,False,False,False,energy_deposit_keV,0.00035168,0.00258944,0.0304866,0.02212072,4.27e-05,0.0036459,0.00577448,1.7e-07
34,0.0061115,False,False,False,detector_id,0.03595365,0.0,0.00124997,0.00024459,0.00256122,0.00094448,0.00613955,0.00179856
35,0.00714744,False,False,False,detector_id,0.0315757,0.01201249,0.00157886,0.00871664,0.00189234,0.00013977,0.0010697,0.00019405
36,0.02106578,False,False,False,channel_id,0.00907249,0.10775635,0.00050419,0.00053785,0.00075793,0.04472194,0.00510553,6.995e-05
37,0.00359602,False,False,False,detector_id,0.02354146,0.00120215,0.00035875,0.00067538,0.00059241,0.00177079,0.00054253,8.473e-05
38,0.01427879,False,False,False,energy_deposit_keV,0.01788079,1.286e-05,0.05421472,0.00921082,0.01434381,0.01659386,1.58e-06,0.00197187
39,0.93279606,True,True,True,hit_multiplicity,0.20656334,0.04218606,0.8724936,5.243948,1.0167955,0.01967263,0.06044122,0.00026842
40,0.01028453,False,False,False,channel_id,0.00960587,0.0672294,6.17e-06,0.00035698,0.00023249,0.00029815,0.00316632,0.00138089
41,0.00313646,False,False,False,channel_id,0.00342687,0.01481554,0.00066417,0.00015526,0.00056988,0.00367729,0.00176437,1.829e-05
42,0.00469477,False,False,False,detector_id,0.02057114,0.00119037,0.0051258,3.1e-07,0.0062822,0.00237728,0.00013171,0.00187934
43,0.0131868,False,False,False,channel_id,0.00486419,0.09051859,0.00116379,0.00067582,0.0028597,9.92e-05,0.0045184,0.00079472
44,0.01682306,False,False,False,channel_id,0.02669408,0.09927285,0.00086706,0.00018516,0.00014196,0.00197979,0.00532943,0.00011414
45,0.01001995,False,False,False,signal_amplitude_mV,0.01968654,4.269e-05,0.01280925,0.00806631,0.02949311,0.00298271,0.00109857,0.00598039
46,0.01099088,False,False,False,noise_floor_mV,0.02561159,0.00024937,0.00130524,0.00059247,0.0067496,0.04912672,0.00349623,0.00079585
47,0.00544458,False,False,False,hit_multiplicity,0.00161531,0.00509385,0.00488311,0.02180901,0.00509119,0.00450749,0.00036083,0.00019589
48,0.08137437,False,False,False,channel_id,0.29451564,0.3016697,0.00625143,0.0144746,0.00395325,0.0274564,0.00060132,0.00207265
49,0.06853913,False,False,False,signal_amplitude_mV,0.00098333,0.00020978,0.09358858,0.03969723,0.401814,3.174e-05,0.00049724,0.01149116
50,0.00997966,False,False,False,hit_multiplicity,0.02018471,0.02334566,4.244e-05,0.03034889,0.00194607,0.00048395,0.00169955,0.001786
51,0.01700742,False,False,False,channel_id,2.34e-06,0.11606238,0.00419757,0.00906348,0.00386251,4.01e-05,0.00275086,8.015e-05
52,0.13012713,True,False,False,energy_deposit_keV,0.01622675,0.00670107,0.60628104,0.04318456,0.3490275,0.01257892,0.00687728,0.00013986
53,0.01887621,False,False,False,detector_id,0.13124819,0.01197074,0.00124542,0.00163753,0.00153901,0.00040121,0.00267916,0.00028841
54,0.01807053,False,False,False,hit_multiplicity,0.05305564,0.02312626,6.967e-05,0.0662488,0.00031624,1.3e-07,0.00166356,8.392e-05
55,0.06742372,False,False,False,detector_id,0.17962909,0.14059299,0.02139909,0.13693893,0.04608913,0.00391171,0.00947946,0.00134931
56,0.00198531,False,False,False,channel_id,0.00025142,0.00876797,0.00027666,0.00215169,0.00174751,0.00116008,0.00148302,4.414e-05
57,0.01331852,False,False,False,hit_multiplicity,0.02926784,0.00206127,0.0312258,0.04197966,1.194e-05,0.00068486,0.00032294,0.00099384
58,0.03043274,False,False,False,detector_id,0.17930809,0.01506653,0.00247395,0.03162526,0.00321186,0.00044668,0.01054887,0.00078064
59,0.01574533,False,False,False,channel_id,0.00444049,0.10015947,0.00065477,0.00957684,0.00041662,0.00482302,0.00570583,0.00018558
60,0.01347532,False,False,False,noise_floor_mV,0.00678105,0.01065101,0.00666988,0.01778316,0.02364583,0.04094413,0.00039899,0.00092849
61,0.02132934,False,False,False,energy_deposit_keV,3.685e-05,0.00034652,0.07314881,0.0470118,0.01020679,0.00187172,0.03801017,2.08e-06
62,0.00602796,False,False,False,detector_id,0.02404421,3e-08,0.00198297,0.02013009,0.00117764,0.00022753,0.00061295,4.824e-05
63,0.11353682,False,False,False,hit_multiplicity,0.01537735,0.01018112,0.07440649,0.7417594,0.05917614,0.00521904,0.00217452,4.5e-07
64,0.02310885,False,False,False,detector_id,0.15367435,2.371e-05,0.00068297,0.00401378,5.476e-05,0.0240098,0.00225668,0.00015473
65,0.0236811,False,False,False,energy_deposit_keV,0.00245353,0.01272289,0.08822728,0.02463936,0.05945801,0.00107921,0.00073597,0.00013254
66,0.00553796,False,False,False,channel_id,0.00478658,0.02688123,0.00416692,0.0034248,0.00279753,0.0017732,0.00027315,0.00020032
67,0.01461339,False,False,False,channel_id,0.00082512,0.09776714,0.00679721,0.00016712,0.01085492,0.00048818,2.59e-06,4.85e-06
68,0.02582233,False,False,False,channel_id,0.00470002,0.10653061,0.05052579,0.00012742,0.03994238,0.00166559,0.00293203,0.00015478
69,0.01578861,False,False,False,detector_id,0.07199525,0.0085891,0.02695569,0.00029026,0.01671356,0.0007051,0.0007087,0.00035121
70,0.00566631,False,False,False,detector_id,0.03207966,1.86e-06,0.00215943,0.00022839,0.00124008,0.00088257,0.00704673,0.00169177
71,0.0317451,False,False,False,detector_id,0.22313592,0.00098749,0.00572029,0.0126961,0.00710334,0.00018212,0.00246281,0.00167278
72,0.05943352,False,False,False,channel_id,0.01015267,0.16503587,0.12031855,0.04877872,0.13007997,0.00066734,0.00037438,6.069e-05
73,0.03579725,False,False,False,hit_multiplicity,0.02172751,0.02675592,0.04633636,0.15086715,0.03981754,1.258e-05,7.206e-05,0.00078888
74,0.05122062,False,False,False,detector_id,0.26643407,0.08023668,0.02394992,0.01075812,0.02372989,0.0016354,0.00275723,0.00026361
75,0.1296945,True,False,False,signal_amplitude_mV,0.0031034,6.099e-05,0.2292431,0.07036083,0.7323034,0.00011432,0.00152112,0.00084906
76,0.00297009,False,False,False,channel_id,0.00028753,0.0084356,0.00402518,0.00178061,0.00502239,0.0009629,0.00309686,0.00014963
77,0.01634054,False,False,False,channel_id,0.00680387,0.11134694,0.00042292,0.00282426,0.00058117,0.00776192,0.00098138,1.85e-06
78,0.00334276,False,False,False,channel_id,0.0019703,0.00800907,0.00347323,0.00319887,0.00107726,0.00497256,0.00395162,8.921e-05
79,0.03889296,False,False,False,signal_amplitude_mV,0.00056259,0.00017786,0.09487581,0.0136349,0.15780856,0.00688134,0.03292161,0.00428106
80,0.05425178,False,False,False,detector_id,0.18543091,0.0994487,0.0170652,0.00360795,0.00599725,0.01788904,0.10432781,0.00024735
81,0.0071136,False,False,False,noise_floor_mV,0.00901067,0.00789365,0.00164778,0.01380872,0.00493549,0.0142153,0.00505683,0.00034033
82,0.01540734,False,False,False,detector_id,0.07886236,0.0271502,0.0015303,0.00844995,0.00188839,0.00118388,0.00419122,2.4e-06
83,0.00974533,False,False,False,channel_id,0.02456427,0.03910382,9.855e-05,0.00562391,0.00050274,0.00085891,0.00718505,2.538e-05
84,0.03434962,False,False,False,channel_id,8.209e-05,0.10926248,0.00087079,0.01372171,0.07890186,0.04701965,0.02493234,6.07e-06
85,0.05836526,False,False,False,hit_multiplicity,0.02062116,0.03730505,0.07209536,0.24622446,0.08521388,3.634e-05,0.00542293,2.97e-06
86,0.01108746,False,False,False,hit_multiplicity,0.02366717,0.00557618,0.01478952,0.02616382,0.00030315,0.01769941,0.00048389,1.65e-05
87,0.0340568,False,False,False,signal_amplitude_mV,0.00086014,0.01645962,0.00010874,0.01197669,0.23362055,0.00259037,0.00163791,0.00520039
88,0.00486803,False,False,False,detector_id,0.0086703,0.00144315,0.00235218,0.00578982,0.00688407,0.00742778,0.0062341,0.00014283
89,0.0738068,False,False,False,signal_amplitude_mV,0.11938903,0.00043946,0.06831749,0.06831524,0.23297338,3.5e-05,0.10063704,0.00034782
90,0.03629644,False,False,False,channel_id,0.00989664,0.2004992,0.00996768,0.00162285,0.05155563,0.00779369,0.00813606,0.00089977
91,0.00743883,False,False,False,detector_id,0.0311427,0.00263736,0.00238224,0.00089187,0.00100181,0.0213899,3.6e-07,6.438e-05
92,0.00810518,False,False,False,detector_id,0.03532994,0.00489569,6.937e-05,0.01629157,2.661e-05,0.00793834,0.0001877,0.00010221
93,0.01060084,False,False,False,channel_id,0.00184457,0.0792809,5.9e-07,0.00226034,0.00110182,0.00023378,8.473e-05,3e-08
94,0.03260936,False,False,False,detector_id,0.10612509,0.00980305,0.05210889,0.00289128,0.0498428,0.0280928,0.01146227,0.00054865
95,0.0205547,False,False,False,detector_id,0.13869928,0.01099208,0.00075966,0.00228933,0.00056536,0.00832623,0.00278217,2.349e-05
96,0.01167519,False,False,False,hit_multiplicity,0.02107684,0.01112192,0.00805312,0.02195663,0.0059949,0.00750612,0.01749103,0.00020094
97,0.00610275,False,False,False,hit_multiplicity,0.00028,0.00043205,0.00182915,0.02069896,0.0013226,0.01704098,0.00502506,0.0021932
98,0.01488182,False,False,False,channel_id,0.00266137,0.08341446,0.00030382,0.00322513,0.00063383,0.00331575,0.02540849,9.176e-05
99,0.02686506,False,False,False,channel_id,0.00452511,0.07256043,0.0447477,0.01087935,0.03632834,0.01648233,0.02818904,0.00120816
100,0.07606368,False,False,False,hit_multiplicity,0.00089618,0.0013222,0.0004092,0.50851816,0.097233,4.96e-05,8.113e-05,3e-08
101,0.1089861,False,False,False,hit_multiplicity,0.06039948,0.00535341,0.32224095,0.38804463,0.0204547,0.0667719,0.00104137,0.0075823
102,0.10583788,False,False,False,hit_multiplicity,0.04284398,0.07690058,0.00077837,0.703019,0.00034796,0.01791982,0.00217569,0.00271761
103,0.02955079,False,False,False,detector_id,0.16378869,0.05063987,0.00010883,0.01096866,0.00082161,0.00032063,0.00938578,0.00037227
104,0.02714773,False,False,False,energy_deposit_keV,0.00081779,0.00048628,0.09274936,0.0243021,0.06468464,0.03314098,0.00040055,0.00060015
105,0.02950407,False,False,False,channel_id,0.1030938,0.11827534,0.00012239,0.00031688,0.00010653,0.00229593,0.01178202,3.964e-05
106,0.02179713,False,False,False,channel_id,0.04906546,0.0551723,0.0147006,0.0097499,0.01169154,0.02847578,0.00451001,0.00101149
107,0.02667568,False,False,False,signal_amplitude_mV,0.04064355,0.0262151,0.02066567,0.03728584,0.07074378,0.01506163,0.00252985,0.00025999
108,0.01222687,False,False,False,energy_deposit_keV,0.00346854,0.00517339,0.03982359,0.00861032,0.02519439,0.00057362,0.0145498,0.00042128
109,0.02155691,False,False,False,detector_id,0.0966141,0.05798678,0.00035493,0.00084536,3.254e-05,0.00714353,0.00841792,0.00106014
110,0.04984671,False,False,False,hit_multiplicity,0.04367556,0.00797682,0.07962348,0.16779356,0.09648834,0.00274477,0.00010413,0.00036702
111,0.06456134,False,False,False,detector_id,0.21069106,0.07041691,0.04837594,0.11135016,0.03724048,0.00748191,0.02664152,0.00429276
112,0.04240534,False,False,False,channel_id,0.04429228,0.2859374,0.00183392,0.00076074,0.00089645,0.00092374,0.0045339,6.424e-05
113,0.01027838,False,False,False,channel_id,0.00163487,0.07685014,0.00033305,0.00146941,0.00169862,0.00024055,3e-07,1.1e-07
114,0.00432551,False,False,False,noise_floor_mV,0.00349053,0.00199124,3.45e-06,0.00305238,2.037e-05,0.02137707,0.00426519,0.0004038
115,0.00368522,False,False,False,temperature_K,0.00316346,0.00155536,0.00334862,0.00049842,0.0052378,0.00340886,0.00908902,0.00318023
116,0.0306286,False,False,False,hit_multiplicity,0.00167881,0.00384042,0.01700861,0.11958256,0.03510853,0.05149864,0.01464851,0.0016627
117,0.00837188,False,False,False,channel_id,0.00917881,0.03467764,0.00013503,0.01226879,0.00411996,0.00133387,0.00402899,0.00123193
118,0.03737737,False,False,False,detector_id,0.17800795,0.01016396,0.00139523,0.00091417,0.05632913,0.01933315,0.03232025,0.00055514
119,0.01495728,False,False,False,detector_id,0.04148151,0.01248854,0.00893923,0.00585714,0.00603006,0.00909512,0.03470288,0.00106378
120,0.09734483,False,False,False,hit_multiplicity,0.22031502,0.0036083,0.04082686,0.4440156,0.02746681,0.03759372,0.00468197,0.00025043
121,0.03267135,False,False,False,detector_id,0.18471403,0.01547474,0.003245,0.00071494,0.00160057,0.0177156,0.03787614,2.981e-05
122,0.04177891,False,False,False,hit_multiplicity,0.04899908,0.04408116,0.04899186,0.10530485,0.07773528,0.00647881,0.00221801,0.00042221
123,0.00568962,False,False,False,noise_floor_mV,2.36e-06,0.00562717,0.00224233,0.01008163,0.00376076,0.01368234,0.00862704,0.00149333
124,0.17570113,True,False,False,signal_amplitude_mV,0.00099486,0.00458688,0.25987655,0.1988035,0.93670815,5.569e-05,0.00012032,0.00446291
125,0.13576183,True,False,False,detector_id,0.51406986,2e-07,7.962e-05,0.51260066,0.00257287,0.05169068,0.00492888,0.00015185
126,0.0103959,False,False,False,detector_id,0.04569498,0.00224292,0.00265836,0.02442206,0.00462197,4.18e-06,0.00247664,0.0010461
127,0.01842027,False,False,False,signal_amplitude_mV,0.00661997,0.02810437,0.03786706,0.00899369,0.06059178,0.00509706,8.471e-05,3.5e-06
